shape,kernel_name,run,time_ms,correctness,max_err
1x1024,tile_softmax_1x1024,0,0.004620,PASS,1.05e-9
1x1024,tile_softmax_1x1024,1,0.006040,PASS,1.05e-9
1x1024,tile_softmax_1x1024,2,0.004500,PASS,1.05e-9
1x1024,tile_softmax_1x1024,3,0.006020,PASS,1.05e-9
1x1024,tile_softmax_1x1024,4,0.005100,PASS,1.05e-9
1x1024,tile_softmax_1x1024,5,0.006000,PASS,1.05e-9
1x1024,tile_softmax_1x1024,6,0.005300,PASS,1.05e-9
1x1024,tile_softmax_1x1024,7,0.006400,PASS,1.05e-9
1x1024,tile_softmax_1x1024,8,0.005260,PASS,1.05e-9
1x1024,tile_softmax_1x1024,9,0.006240,PASS,1.05e-9
1x4096,tile_softmax_1x4096,0,0.008080,PASS,1.75e-10
1x4096,tile_softmax_1x4096,1,0.005800,PASS,1.75e-10
1x4096,tile_softmax_1x4096,2,0.007920,PASS,1.75e-10
1x4096,tile_softmax_1x4096,3,0.005620,PASS,1.75e-10
1x4096,tile_softmax_1x4096,4,0.007720,PASS,1.75e-10
1x4096,tile_softmax_1x4096,5,0.005780,PASS,1.75e-10
1x4096,tile_softmax_1x4096,6,0.007800,PASS,1.75e-10
1x4096,tile_softmax_1x4096,7,0.005800,PASS,1.75e-10
1x4096,tile_softmax_1x4096,8,0.008080,PASS,1.75e-10
1x4096,tile_softmax_1x4096,9,0.005820,PASS,1.75e-10
1x8192,tile_softmax_1x8192,0,0.016840,PASS,2.62e-10
1x8192,tile_softmax_1x8192,1,0.011120,PASS,2.62e-10
1x8192,tile_softmax_1x8192,2,0.008360,PASS,2.62e-10
1x8192,tile_softmax_1x8192,3,0.010860,PASS,2.62e-10
1x8192,tile_softmax_1x8192,4,0.007760,PASS,2.62e-10
1x8192,tile_softmax_1x8192,5,0.010860,PASS,2.62e-10
1x8192,tile_softmax_1x8192,6,0.007560,PASS,2.62e-10
1x8192,tile_softmax_1x8192,7,0.010520,PASS,2.62e-10
1x8192,tile_softmax_1x8192,8,0.008080,PASS,2.62e-10
1x8192,tile_softmax_1x8192,9,0.010440,PASS,2.62e-10
4x256,tile_softmax_4x256,0,0.005520,PASS,2.79e-9
4x256,tile_softmax_4x256,1,0.006680,PASS,2.79e-9
4x256,tile_softmax_4x256,2,0.007380,PASS,2.79e-9
4x256,tile_softmax_4x256,3,0.004740,PASS,2.79e-9
4x256,tile_softmax_4x256,4,0.006480,PASS,2.79e-9
4x256,tile_softmax_4x256,5,0.005220,PASS,2.79e-9
4x256,tile_softmax_4x256,6,0.005820,PASS,2.79e-9
4x256,tile_softmax_4x256,7,0.005280,PASS,2.79e-9
4x256,tile_softmax_4x256,8,0.005940,PASS,2.79e-9
4x256,tile_softmax_4x256,9,0.004680,PASS,2.79e-9
16x256,tile_softmax_16x256,0,0.004500,PASS,3.26e-9
16x256,tile_softmax_16x256,1,0.006760,PASS,3.26e-9
16x256,tile_softmax_16x256,2,0.005700,PASS,3.26e-9
16x256,tile_softmax_16x256,3,0.007520,PASS,3.26e-9
16x256,tile_softmax_16x256,4,0.004700,PASS,3.26e-9
16x256,tile_softmax_16x256,5,0.004640,PASS,3.26e-9
16x256,tile_softmax_16x256,6,0.005120,PASS,3.26e-9
16x256,tile_softmax_16x256,7,0.005340,PASS,3.26e-9
16x256,tile_softmax_16x256,8,0.005320,PASS,3.26e-9
16x256,tile_softmax_16x256,9,0.005060,PASS,3.26e-9
16x512,tile_softmax_16x512,0,0.005160,PASS,2.79e-9
16x512,tile_softmax_16x512,1,0.004880,PASS,2.79e-9
16x512,tile_softmax_16x512,2,0.005920,PASS,2.79e-9
16x512,tile_softmax_16x512,3,0.004720,PASS,2.79e-9
16x512,tile_softmax_16x512,4,0.005320,PASS,2.79e-9
16x512,tile_softmax_16x512,5,0.004980,PASS,2.79e-9
16x512,tile_softmax_16x512,6,0.005300,PASS,2.79e-9
16x512,tile_softmax_16x512,7,0.004560,PASS,2.79e-9
16x512,tile_softmax_16x512,8,0.005520,PASS,2.79e-9
16x512,tile_softmax_16x512,9,0.004680,PASS,2.79e-9
