# CANN 8.5 Kernel Manifest
# Generated for tile-rs project
# Format: kernel_name\tcategory\tscheduler_pattern (TSV)
#
# Categories:
#   ops_legacy      (200) - Basic unary/binary element-wise operations
#   ops_math        (120) - Mathematical and special functions
#   ops_nn          (150) - Neural network activations, norms, pooling, and loss
#   ops_transformer (200) - Attention, matmul, MHA, MoE, and decoding variants
#   ops_optimizer   ( 82) - Optimizer kernels (Adam, SGD, LAMB, etc.)
#   ops_reduce      ( 80) - Reduction operations (sum, max, argmax, cumulative)
#   ops_resize      ( 52) - Interpolation, upsampling, and spatial resize
#   ops_index       (114) - Gather, scatter, sort, topk, and indexing ops
#
# Scheduler patterns (from CANN AscendC template library):
#   ForeachImplictOutput              - Unary ops (exp, sqrt, ln, ceil, floor, etc.)
#   ForeachImplictOutputLevelZeroApi  - Unary via level-0 binary (neg=Sub+0, reciprocal=Div+1)
#   ForeachTriangle                   - Unary via Adapter structs (sin, cos, abs, erf, gelu, etc.)
#   ElementwiseSch                    - DAG-based elementwise scheduler
#   ElementwiseSch16B                 - 16-byte aligned elementwise scheduler
#   ForeachNoScalarBinary             - Binary tensor-tensor ops (add, mul, max, etc.)
#   ForeachOneScalarBinary            - Binary tensor-scalar ops (adds, muls, etc.)
#   ForeachOneScalarTernary           - Ternary with scalar (add_list_alpha, etc.)
#   ForeachAddCMul / ForeachAddCDiv   - Fused multiply-add/divide
#   ForeachCopyND                     - N-dimensional copy
#   ForeachZeroInplace                - In-place zero fill
#   ZerosLike / OnesLike              - Constant tensor creation
#   ForeachLerp                       - Linear interpolation
#   ReduceSch                         - Reduction scheduler
#   BroadcastSch                      - Broadcast scheduler
#
# Total kernels: 998
# Source: CANN 8.5 kernel library (Ascend NPU)
# Hardware targets: 910B (Ascend 910B), 310P (Ascend 310P)
# Dtype suffixes: f32 (float32), f16 (float16), bf16 (bfloat16),
#                 int32 (int32), int8 (int8), int64 (int64)
#   transpilable = yes: genuine CANN scheduler template, transpiler produces correct code
#   transpilable = no: complex hand-written kernel, listed for coverage tracking only
#
kernel_name	category	scheduler_pattern	transpilable
foreach_exp_f32	ops_legacy	ForeachImplictOutput	yes
foreach_exp_f16	ops_legacy	ForeachImplictOutput	yes
foreach_exp_bf16	ops_legacy	ForeachImplictOutput	yes
foreach_abs_f32	ops_legacy	ForeachTriangle	yes
foreach_abs_f16	ops_legacy	ForeachTriangle	yes
foreach_abs_bf16	ops_legacy	ForeachTriangle	yes
foreach_neg_f32	ops_legacy	ForeachImplictOutputLevelZeroApi	yes
foreach_neg_f16	ops_legacy	ForeachImplictOutputLevelZeroApi	yes
foreach_neg_bf16	ops_legacy	ForeachImplictOutputLevelZeroApi	yes
foreach_sqrt_f32	ops_legacy	ForeachImplictOutput	yes
foreach_sqrt_f16	ops_legacy	ForeachImplictOutput	yes
foreach_sqrt_bf16	ops_legacy	ForeachImplictOutput	yes
foreach_rsqrt_f32	ops_legacy	ForeachImplictOutput	yes
foreach_rsqrt_f16	ops_legacy	ForeachImplictOutput	yes
foreach_rsqrt_bf16	ops_legacy	ForeachImplictOutput	yes
foreach_reciprocal_f32	ops_legacy	ForeachImplictOutputLevelZeroApi	yes
foreach_reciprocal_f16	ops_legacy	ForeachImplictOutputLevelZeroApi	yes
foreach_reciprocal_bf16	ops_legacy	ForeachImplictOutputLevelZeroApi	yes
foreach_ln_f32	ops_legacy	ForeachImplictOutput	yes
foreach_ln_f16	ops_legacy	ForeachImplictOutput	yes
foreach_ln_bf16	ops_legacy	ForeachImplictOutput	yes
foreach_log2_f32	ops_legacy	ForeachImplictOutput	yes
foreach_log2_f16	ops_legacy	ForeachImplictOutput	yes
foreach_log2_bf16	ops_legacy	ForeachImplictOutput	yes
foreach_log10_f32	ops_legacy	ForeachImplictOutput	yes
foreach_log10_f16	ops_legacy	ForeachImplictOutput	yes
foreach_log10_bf16	ops_legacy	ForeachImplictOutput	yes
foreach_ceil_f32	ops_legacy	ForeachImplictOutput	yes
foreach_ceil_f16	ops_legacy	ForeachImplictOutput	yes
foreach_ceil_bf16	ops_legacy	ForeachImplictOutput	yes
foreach_floor_f32	ops_legacy	ForeachImplictOutput	yes
foreach_floor_f16	ops_legacy	ForeachImplictOutput	yes
foreach_floor_bf16	ops_legacy	ForeachImplictOutput	yes
foreach_round_f32	ops_legacy	ForeachImplictOutput	yes
foreach_round_f16	ops_legacy	ForeachImplictOutput	yes
foreach_round_bf16	ops_legacy	ForeachImplictOutput	yes
foreach_trunc_f32	ops_legacy	ForeachImplictOutput	yes
foreach_trunc_f16	ops_legacy	ForeachImplictOutput	yes
foreach_trunc_bf16	ops_legacy	ForeachImplictOutput	yes
foreach_sign_f32	ops_legacy	ForeachImplictOutput	yes
foreach_sign_f16	ops_legacy	ForeachImplictOutput	yes
foreach_sign_bf16	ops_legacy	ForeachImplictOutput	yes
foreach_not_f32	ops_legacy	ForeachImplictOutput	yes
foreach_not_f16	ops_legacy	ForeachImplictOutput	yes
foreach_not_bf16	ops_legacy	ForeachImplictOutput	yes
foreach_bitwise_not_f32	ops_legacy	ForeachImplictOutput	yes
foreach_bitwise_not_f16	ops_legacy	ForeachImplictOutput	yes
foreach_bitwise_not_bf16	ops_legacy	ForeachImplictOutput	yes
foreach_logical_not_f32	ops_legacy	ForeachImplictOutput	yes
foreach_logical_not_f16	ops_legacy	ForeachImplictOutput	yes
foreach_logical_not_bf16	ops_legacy	ForeachImplictOutput	yes
foreach_clamp_f32	ops_legacy	ForeachImplictOutput	yes
foreach_clamp_f16	ops_legacy	ForeachImplictOutput	yes
foreach_clamp_bf16	ops_legacy	ForeachImplictOutput	yes
foreach_add_list_f32	ops_legacy	ForeachNoScalarBinary	yes
foreach_add_list_f16	ops_legacy	ForeachNoScalarBinary	yes
foreach_add_list_bf16	ops_legacy	ForeachNoScalarBinary	yes
foreach_sub_list_f32	ops_legacy	ForeachNoScalarBinary	yes
foreach_sub_list_f16	ops_legacy	ForeachNoScalarBinary	yes
foreach_sub_list_bf16	ops_legacy	ForeachNoScalarBinary	yes
foreach_mul_list_f32	ops_legacy	ForeachNoScalarBinary	yes
foreach_mul_list_f16	ops_legacy	ForeachNoScalarBinary	yes
foreach_mul_list_bf16	ops_legacy	ForeachNoScalarBinary	yes
foreach_div_list_f32	ops_legacy	ForeachNoScalarBinary	yes
foreach_div_list_f16	ops_legacy	ForeachNoScalarBinary	yes
foreach_div_list_bf16	ops_legacy	ForeachNoScalarBinary	yes
foreach_max_list_f32	ops_legacy	ForeachNoScalarBinary	yes
foreach_max_list_f16	ops_legacy	ForeachNoScalarBinary	yes
foreach_max_list_bf16	ops_legacy	ForeachNoScalarBinary	yes
foreach_min_list_f32	ops_legacy	ForeachNoScalarBinary	yes
foreach_min_list_f16	ops_legacy	ForeachNoScalarBinary	yes
foreach_min_list_bf16	ops_legacy	ForeachNoScalarBinary	yes
foreach_pow_list_f32	ops_legacy	ForeachNoScalarBinary	yes
foreach_pow_list_f16	ops_legacy	ForeachNoScalarBinary	yes
foreach_pow_list_bf16	ops_legacy	ForeachNoScalarBinary	yes
foreach_fmod_list_f32	ops_legacy	ForeachNoScalarBinary	yes
foreach_fmod_list_f16	ops_legacy	ForeachNoScalarBinary	yes
foreach_fmod_list_bf16	ops_legacy	ForeachNoScalarBinary	yes
foreach_bitwise_and_list_f32	ops_legacy	ForeachNoScalarBinary	yes
foreach_bitwise_and_list_f16	ops_legacy	ForeachNoScalarBinary	yes
foreach_bitwise_and_list_bf16	ops_legacy	ForeachNoScalarBinary	yes
foreach_bitwise_or_list_f32	ops_legacy	ForeachNoScalarBinary	yes
foreach_bitwise_or_list_f16	ops_legacy	ForeachNoScalarBinary	yes
foreach_bitwise_or_list_bf16	ops_legacy	ForeachNoScalarBinary	yes
foreach_bitwise_xor_list_f32	ops_legacy	ForeachNoScalarBinary	yes
foreach_bitwise_xor_list_f16	ops_legacy	ForeachNoScalarBinary	yes
foreach_bitwise_xor_list_bf16	ops_legacy	ForeachNoScalarBinary	yes
foreach_logical_and_list_f32	ops_legacy	ForeachNoScalarBinary	yes
foreach_logical_and_list_f16	ops_legacy	ForeachNoScalarBinary	yes
foreach_logical_and_list_bf16	ops_legacy	ForeachNoScalarBinary	yes
foreach_logical_or_list_f32	ops_legacy	ForeachNoScalarBinary	yes
foreach_logical_or_list_f16	ops_legacy	ForeachNoScalarBinary	yes
foreach_logical_or_list_bf16	ops_legacy	ForeachNoScalarBinary	yes
foreach_add_scalar_f32	ops_legacy	ForeachOneScalarBinary	yes
foreach_add_scalar_f16	ops_legacy	ForeachOneScalarBinary	yes
foreach_add_scalar_bf16	ops_legacy	ForeachOneScalarBinary	yes
foreach_sub_scalar_f32	ops_legacy	ForeachOneScalarBinary	yes
foreach_sub_scalar_f16	ops_legacy	ForeachOneScalarBinary	yes
foreach_sub_scalar_bf16	ops_legacy	ForeachOneScalarBinary	yes
foreach_mul_scalar_f32	ops_legacy	ForeachOneScalarBinary	yes
foreach_mul_scalar_f16	ops_legacy	ForeachOneScalarBinary	yes
foreach_mul_scalar_bf16	ops_legacy	ForeachOneScalarBinary	yes
foreach_div_scalar_f32	ops_legacy	ForeachOneScalarBinary	yes
